r,t,y,DiscountedSalvageValue
RE1,PWRCOA001,2017,0.0809
RE1,PWRCOA001,2018,3.4874
RE1,PWRCOA001,2019,4.8624
RE1,PWRCOA001,2020,5.2455
RE1,PWRCOA001,2021,4.2669
RE1,PWRCOA001,2022,4.5099
RE1,PWRCOA001,2023,37.9692
RE1,PWRCOA001,2024,58.9055
RE1,PWRCOA001,2025,16.1904
RE1,PWRCOA001,2026,5.7006
RE1,PWRCOA001,2027,5.8598
RE1,PWRCOA001,2028,6.0041
RE1,PWRCOA001,2029,8.0491
RE1,PWRCOA001,2030,6.2529
RE1,PWRCOA001,2031,26.2013
RE1,PWRCOA001,2032,7.4052
RE1,PWRCOA001,2033,7.5054
RE1,PWRCOA001,2034,9.6107
RE1,PWRCOA001,2035,7.6778
RE1,PWRCOA001,2036,6.202
RE1,PWRCOA001,2037,13.9828
RE1,PWRCOA001,2038,6.3032
RE1,PWRCOA001,2039,6.4428
RE1,PWRCOA001,2040,6.4822
RE1,PWRCOA001,2041,6.3798
RE1,PWRCOA001,2042,10.3345
RE1,PWRCOA001,2043,6.4387
RE1,PWRCOA001,2044,6.4706
RE1,PWRCOA001,2045,6.4858
RE1,PWRCOA001,2046,4.4899
RE1,PWRCOA001,2047,4.502
RE1,PWRCOA001,2048,4.5128
RE1,PWRCOA001,2049,4.5223
RE1,PWRCOA001,2050,4.5524
RE1,PWRCOA001,2051,13.3495
RE1,PWRCOA001,2052,4.9625
RE1,PWRCOA001,2053,5.0272
RE1,PWRCOA001,2054,5.0918
RE1,PWRCOA001,2055,5.1683
RE1,PWRCOA001,2056,5.2751
RE1,PWRCOA001,2057,5.3407
RE1,PWRCOA001,2058,5.4065
RE1,PWRCOA001,2059,5.4725
RE1,PWRCOA001,2060,5.5387
RE1,PWRCOA001,2061,5.6053
RE1,PWRCOA001,2062,5.6723
RE1,PWRCOA001,2063,5.7396
RE1,PWRCOA001,2064,5.8074
RE1,PWRCOA001,2065,5.8756
RE1,PWRCOA001,2066,5.9443
RE1,PWRCOA001,2067,6.0135
RE1,PWRCOA001,2068,6.0833
RE1,PWRCOA001,2069,6.1536
RE1,PWRCOA001,2070,6.2245
RE1,PWRTRN,2033,0.1544
RE1,PWRTRN,2034,0.775
RE1,PWRTRN,2035,0.8032
RE1,PWRTRN,2036,0.6632
RE1,PWRTRN,2037,0.6817
RE1,PWRTRN,2038,0.6985
RE1,PWRTRN,2039,0.7238
RE1,PWRTRN,2040,0.7377
RE1,PWRTRN,2041,0.7345
RE1,PWRTRN,2042,0.7457
RE1,PWRTRN,2043,0.7558
RE1,PWRTRN,2044,0.7649
RE1,PWRTRN,2045,0.7731
RE1,PWRTRN,2046,0.5387
RE1,PWRTRN,2047,0.5433
RE1,PWRTRN,2048,0.5475
RE1,PWRTRN,2049,0.5512
RE1,PWRTRN,2050,0.5546
RE1,PWRTRN,2051,40.6394
RE1,PWRTRN,2052,0.6045
RE1,PWRTRN,2053,0.6143
RE1,PWRTRN,2054,0.6239
RE1,PWRTRN,2055,0.6335
RE1,PWRTRN,2056,0.6429
RE1,PWRTRN,2057,0.6523
RE1,PWRTRN,2058,0.6615
RE1,PWRTRN,2059,0.6708
RE1,PWRTRN,2060,0.6799
RE1,PWRTRN,2061,0.6891
RE1,PWRTRN,2062,0.6982
RE1,PWRTRN,2063,0.7073
RE1,PWRTRN,2064,0.7164
RE1,PWRTRN,2065,0.7255
RE1,PWRTRN,2066,0.7346
RE1,PWRTRN,2067,0.7438
RE1,PWRTRN,2068,0.7529
RE1,PWRTRN,2069,0.7621
RE1,PWRTRN,2070,0.7713
RE1,PWRDIST,2036,0.3802
RE1,PWRDIST,2037,0.4027
RE1,PWRDIST,2038,0.4039
RE1,PWRDIST,2039,0.4106
RE1,PWRDIST,2040,0.4117
RE1,PWRDIST,2041,0.404
RE1,PWRDIST,2042,0.4049
RE1,PWRDIST,2043,0.4056
RE1,PWRDIST,2044,0.4063
RE1,PWRDIST,2045,0.4069
RE1,PWRDIST,2046,0.2837
RE1,PWRDIST,2047,0.2841
RE1,PWRDIST,2048,0.2844
RE1,PWRDIST,2049,0.2847
RE1,PWRDIST,2050,0.285
RE1,PWRDIST,2051,21.2007
RE1,PWRDIST,2052,0.2984
RE1,PWRDIST,2053,0.3019
RE1,PWRDIST,2054,0.3055
RE1,PWRDIST,2055,0.3091
RE1,PWRDIST,2056,0.3127
RE1,PWRDIST,2057,0.3163
RE1,PWRDIST,2058,0.32
RE1,PWRDIST,2059,0.3237
RE1,PWRDIST,2060,0.3274
RE1,PWRDIST,2061,0.3312
RE1,PWRDIST,2062,0.335
RE1,PWRDIST,2063,0.3388
RE1,PWRDIST,2064,0.3427
RE1,PWRDIST,2065,0.3466
RE1,PWRDIST,2066,0.3505
RE1,PWRDIST,2067,0.3545
RE1,PWRDIST,2068,0.3585
RE1,PWRDIST,2069,0.3626
RE1,PWRDIST,2070,0.3667
RE1,DEMTRAMCYGSL,2057,0.6409
RE1,DEMTRAMCYGSL,2058,1.2259
RE1,DEMTRAMCYGSL,2059,1.76
RE1,DEMTRAMCYGSL,2060,45.8899
RE1,DEMTRAMCYGSL,2061,4.3148
RE1,DEMTRAMCYGSL,2062,4.0963
RE1,DEMTRAMCYGSL,2063,4.7113
