r,t,y,NewCapacity
RE1,MINOIL,2020,2141.6499
RE1,MINBIO,2015,1097.7232
RE1,MINBIO,2016,1029.2793
RE1,MINBIO,2017,1043.3476
RE1,MINBIO,2018,1069.9028
RE1,MINBIO,2019,1090.6562
RE1,MINBIO,2020,1111.3708
RE1,MINBIO,2021,1126.3121
RE1,MINBIO,2022,1141.2269
RE1,MINBIO,2023,1156.117
RE1,MINBIO,2024,1170.9837
RE1,MINBIO,2025,1185.8284
RE1,MINBIO,2026,1202.1937
RE1,MINBIO,2027,1218.5345
RE1,MINBIO,2028,1234.852
RE1,MINBIO,2029,1251.1477
RE1,MINBIO,2030,1267.4225
RE1,MINBIO,2031,1095.6314
RE1,MINBIO,2032,1110.286
RE1,MINBIO,2033,1124.9089
RE1,MINBIO,2034,1139.5018
RE1,MINBIO,2035,1154.0663
RE1,MINBIO,2036,1166.8426
RE1,MINBIO,2037,1179.6027
RE1,MINBIO,2038,1192.3472
RE1,MINBIO,2039,1205.0768
RE1,MINBIO,2040,1217.7919
RE1,MINBIO,2041,1230.7216
RE1,MINBIO,2042,1243.6406
RE1,MINBIO,2043,1256.5494
RE1,MINBIO,2044,1269.4483
RE1,MINBIO,2045,1282.3376
RE1,MINBIO,2046,1292.2018
RE1,MINBIO,2047,1302.0618
RE1,MINBIO,2048,1311.9176
RE1,MINBIO,2049,1321.7694
RE1,MINBIO,2050,1331.6171
RE1,MINBIO,2051,1341.7018
RE1,MINBIO,2052,1351.8642
RE1,MINBIO,2053,1362.1048
RE1,MINBIO,2054,1372.4242
RE1,MINBIO,2055,1382.8231
RE1,MINBIO,2056,1393.3021
RE1,MINBIO,2057,1403.8619
RE1,MINBIO,2058,1414.5029
RE1,MINBIO,2059,1425.2259
RE1,MINBIO,2060,1436.0315
RE1,MINBIO,2061,1446.9204
RE1,MINBIO,2062,1457.8931
RE1,MINBIO,2063,1468.9504
RE1,MINBIO,2064,1480.0929
RE1,MINBIO,2065,1491.3212
RE1,MINBIO,2066,1502.6361
RE1,MINBIO,2067,1514.0382
RE1,MINBIO,2068,1525.5282
RE1,MINBIO,2069,1537.1067
RE1,MINBIO,2070,1548.7745
RE1,IMPCOA,2028,451.8727
RE1,IMPCOA,2029,3982.1994
RE1,IMPCOA,2030,4088.1358
RE1,IMPCOA,2031,4442.5879
RE1,IMPCOA,2032,4560.8357
RE1,IMPCOA,2033,4678.9929
RE1,IMPCOA,2034,4825.3796
RE1,IMPCOA,2035,4943.3593
RE1,IMPCOA,2036,5038.575
RE1,IMPCOA,2037,5133.7244
RE1,IMPCOA,2038,5228.8082
RE1,IMPCOA,2039,5325.1203
RE1,IMPCOA,2040,5421.3666
RE1,IMPCOA,2041,5516.1452
RE1,IMPCOA,2042,5610.8617
RE1,IMPCOA,2043,5705.5166
RE1,IMPCOA,2044,5800.2016
RE1,IMPCOA,2045,5894.7341
RE1,IMPCOA,2046,5960.7444
RE1,IMPCOA,2047,6026.7143
RE1,IMPCOA,2048,6092.6437
RE1,IMPCOA,2049,6158.5328
RE1,IMPCOA,2050,6224.6601
RE1,IMPCOA,2051,6403.1689
RE1,IMPCOA,2052,6474.5176
RE1,IMPCOA,2053,6546.6334
RE1,IMPCOA,2054,6619.5246
RE1,IMPCOA,2055,6693.3487
RE1,IMPCOA,2056,6768.4971
RE1,IMPCOA,2057,6844.4542
RE1,IMPCOA,2058,6921.2286
RE1,IMPCOA,2059,6998.8293
RE1,IMPCOA,2060,7077.2654
RE1,IMPCOA,2061,7156.5458
RE1,IMPCOA,2062,7236.6799
RE1,IMPCOA,2063,7317.6768
RE1,IMPCOA,2064,7399.5461
RE1,IMPCOA,2065,7482.2972
RE1,IMPCOA,2066,7565.9396
RE1,IMPCOA,2067,7650.4832
RE1,IMPCOA,2068,7735.9377
RE1,IMPCOA,2069,7822.313
RE1,IMPCOA,2070,7909.6192
RE1,MINCOA,2015,1201.8754
RE1,MINCOA,2016,1120.3443
RE1,MINCOA,2017,1134.9327
RE1,MINCOA,2018,1244.8062
RE1,MINCOA,2019,1375.2499
RE1,MINCOA,2020,1505.5936
RE1,MINCOA,2021,1603.8286
RE1,MINCOA,2022,1702.0398
RE1,MINCOA,2023,2409.3478
RE1,MINCOA,2024,3456.2943
RE1,MINCOA,2025,3554.2394
RE1,MINCOA,2026,3660.4793
RE1,MINCOA,2027,3766.642
RE1,MINCOA,2028,3420.8556
RE1,IMPLFO,2015,5550.7897
RE1,IMPLFO,2016,5742.9384
RE1,IMPLFO,2017,5873.1206
RE1,IMPLFO,2018,6018.0952
RE1,IMPLFO,2019,6157.2479
RE1,IMPLFO,2020,4368.8689
RE1,IMPLFO,2021,6407.281
RE1,IMPLFO,2022,6518.1763
RE1,IMPLFO,2023,6629.0416
RE1,IMPLFO,2024,6739.8787
RE1,IMPLFO,2025,6850.6893
RE1,IMPLFO,2026,6973.9478
RE1,IMPLFO,2027,7097.1767
RE1,IMPLFO,2028,7220.3776
RE1,IMPLFO,2029,7343.5521
RE1,IMPLFO,2030,7466.7014
RE1,IMPLFO,2031,7569.1664
RE1,IMPLFO,2032,7671.5908
RE1,IMPLFO,2033,7773.977
RE1,IMPLFO,2034,7876.3269
RE1,IMPLFO,2035,7978.6425
RE1,IMPLFO,2036,8071.7921
RE1,IMPLFO,2037,8164.9222
RE1,IMPLFO,2038,8258.0335
RE1,IMPLFO,2039,8350.4263
RE1,IMPLFO,2040,8442.8016
RE1,IMPLFO,2041,8530.8832
RE1,IMPLFO,2042,8618.952
RE1,IMPLFO,2043,8707.0083
RE1,IMPLFO,2044,8795.0527
RE1,IMPLFO,2045,8883.0856
RE1,IMPLFO,2046,8951.8264
RE1,IMPLFO,2047,9020.5621
RE1,IMPLFO,2048,9089.2927
RE1,IMPLFO,2049,9158.0185
RE1,IMPLFO,2050,9226.7394
RE1,IMPLFO,2051,9297.0735
RE1,IMPLFO,2052,9367.9518
RE1,IMPLFO,2053,9439.3785
RE1,IMPLFO,2054,9511.358
RE1,IMPLFO,2055,9583.8944
RE1,IMPLFO,2056,9656.9922
RE1,IMPLFO,2057,9730.6558
RE1,IMPLFO,2058,9804.8895
RE1,IMPLFO,2059,9879.6978
RE1,IMPLFO,2060,9955.0851
RE1,IMPLFO,2061,10031.056
RE1,IMPLFO,2062,10107.615
RE1,IMPLFO,2063,10184.767
RE1,IMPLFO,2064,10262.516
RE1,IMPLFO,2065,10340.868
RE1,IMPLFO,2066,10419.825
RE1,IMPLFO,2067,10499.395
RE1,IMPLFO,2068,10579.58
RE1,IMPLFO,2069,10660.387
RE1,IMPLFO,2070,10741.82
RE1,MINNGS,2015,784.854
RE1,MINNGS,2016,817.825
RE1,MINNGS,2017,846.9226
RE1,MINNGS,2018,846.9226
RE1,MINNGS,2019,846.9226
RE1,MINNGS,2020,846.9226
RE1,MINNGS,2021,846.9226
RE1,MINNGS,2022,846.9226
RE1,MINNGS,2023,515.785
RE1,MINSOL,2015,19.2273
RE1,MINSOL,2016,19.2273
RE1,MINSOL,2017,19.2273
RE1,MINSOL,2018,19.2273
RE1,MINSOL,2019,19.2273
RE1,MINSOL,2020,19.2273
RE1,MINSOL,2021,19.2273
RE1,MINSOL,2022,19.2273
RE1,MINSOL,2023,19.2273
RE1,MINSOL,2024,19.2273
RE1,MINSOL,2025,19.2273
RE1,MINSOL,2026,19.2273
RE1,MINSOL,2027,19.2273
RE1,MINSOL,2028,19.2273
RE1,MINSOL,2029,19.2273
RE1,MINSOL,2030,19.2273
RE1,MINSOL,2031,19.2273
RE1,MINSOL,2032,19.2273
RE1,MINSOL,2033,19.2273
RE1,MINSOL,2034,0.047
RE1,MINSOL,2035,0.047
RE1,MINSOL,2036,0.047
RE1,MINSOL,2037,0.047
RE1,MINSOL,2038,0.047
RE1,MINSOL,2039,0.047
RE1,MINSOL,2040,0.047
RE1,MINSOL,2041,0.047
RE1,MINSOL,2042,0.047
RE1,MINSOL,2043,0.047
RE1,MINWND,2015,1.358
RE1,MINWND,2016,1.358
