r,t,y,SalvageValue
RE1,PWRCOA001,2017,16.8206
RE1,PWRCOA001,2018,725.2645
RE1,PWRCOA001,2019,1011.2126
RE1,PWRCOA001,2020,1090.8829
RE1,PWRCOA001,2021,887.3596
RE1,PWRCOA001,2022,937.9037
RE1,PWRCOA001,2023,7896.2748
RE1,PWRCOA001,2024,12250.294
RE1,PWRCOA001,2025,3367.0469
RE1,PWRCOA001,2026,1185.5196
RE1,PWRCOA001,2027,1218.6428
RE1,PWRCOA001,2028,1248.6427
RE1,PWRCOA001,2029,1673.93
RE1,PWRCOA001,2030,1300.3904
RE1,PWRCOA001,2031,5448.9502
RE1,PWRCOA001,2032,1540.0147
RE1,PWRCOA001,2033,1560.8696
RE1,PWRCOA001,2034,1998.688
RE1,PWRCOA001,2035,1596.7231
RE1,PWRCOA001,2036,1289.7893
RE1,PWRCOA001,2037,2907.9325
RE1,PWRCOA001,2038,1310.8399
RE1,PWRCOA001,2039,1339.8712
RE1,PWRCOA001,2040,1348.0685
RE1,PWRCOA001,2041,1326.7753
RE1,PWRCOA001,2042,2149.2188
RE1,PWRCOA001,2043,1339.0294
RE1,PWRCOA001,2044,1345.6628
RE1,PWRCOA001,2045,1348.8274
RE1,PWRCOA001,2046,933.7436
RE1,PWRCOA001,2047,936.267
RE1,PWRCOA001,2048,938.5025
RE1,PWRCOA001,2049,940.4764
RE1,PWRCOA001,2050,946.7392
RE1,PWRCOA001,2051,2776.2206
RE1,PWRCOA001,2052,1032.0167
RE1,PWRCOA001,2053,1045.4733
RE1,PWRCOA001,2054,1058.9228
RE1,PWRCOA001,2055,1074.8226
RE1,PWRCOA001,2056,1097.0355
RE1,PWRCOA001,2057,1110.6755
RE1,PWRCOA001,2058,1124.3544
RE1,PWRCOA001,2059,1138.0817
RE1,PWRCOA001,2060,1151.8663
RE1,PWRCOA001,2061,1165.7168
RE1,PWRCOA001,2062,1179.6408
RE1,PWRCOA001,2063,1193.6459
RE1,PWRCOA001,2064,1207.7387
RE1,PWRCOA001,2065,1221.926
RE1,PWRCOA001,2066,1236.2137
RE1,PWRCOA001,2067,1250.6078
RE1,PWRCOA001,2068,1265.1135
RE1,PWRCOA001,2069,1279.7363
RE1,PWRCOA001,2070,1294.4809
RE1,PWRTRN,2033,32.109
RE1,PWRTRN,2034,161.1667
RE1,PWRTRN,2035,167.0324
RE1,PWRTRN,2036,137.9218
RE1,PWRTRN,2037,141.7756
RE1,PWRTRN,2038,145.2661
RE1,PWRTRN,2039,150.5198
RE1,PWRTRN,2040,153.4207
RE1,PWRTRN,2041,152.7463
RE1,PWRTRN,2042,155.0698
RE1,PWRTRN,2043,157.1701
RE1,PWRTRN,2044,159.0676
RE1,PWRTRN,2045,160.781
RE1,PWRTRN,2046,112.0312
RE1,PWRTRN,2047,112.9934
RE1,PWRTRN,2048,113.8602
RE1,PWRTRN,2049,114.6404
RE1,PWRTRN,2050,115.342
RE1,PWRTRN,2051,8451.5732
RE1,PWRTRN,2052,125.7098
RE1,PWRTRN,2053,127.7472
RE1,PWRTRN,2054,129.756
RE1,PWRTRN,2055,131.74
RE1,PWRTRN,2056,133.7029
RE1,PWRTRN,2057,135.6478
RE1,PWRTRN,2058,137.5778
RE1,PWRTRN,2059,139.4957
RE1,PWRTRN,2060,141.4039
RE1,PWRTRN,2061,143.3051
RE1,PWRTRN,2062,145.2012
RE1,PWRTRN,2063,147.0945
RE1,PWRTRN,2064,148.9868
RE1,PWRTRN,2065,150.88
RE1,PWRTRN,2066,152.7755
RE1,PWRTRN,2067,154.675
RE1,PWRTRN,2068,156.58
RE1,PWRTRN,2069,158.4917
RE1,PWRTRN,2070,160.4114
RE1,PWRDIST,2036,79.0776
RE1,PWRDIST,2037,83.7472
RE1,PWRDIST,2038,84.0017
RE1,PWRDIST,2039,85.4004
RE1,PWRDIST,2040,85.6136
RE1,PWRDIST,2041,84.0258
RE1,PWRDIST,2042,84.1984
RE1,PWRDIST,2043,84.3553
RE1,PWRDIST,2044,84.498
RE1,PWRDIST,2045,84.6276
RE1,PWRDIST,2046,59.0088
RE1,PWRDIST,2047,59.0835
RE1,PWRDIST,2048,59.1513
RE1,PWRDIST,2049,59.213
RE1,PWRDIST,2050,59.269
RE1,PWRDIST,2051,4408.9956
RE1,PWRDIST,2052,62.0523
RE1,PWRDIST,2053,62.789
RE1,PWRDIST,2054,63.5303
RE1,PWRDIST,2055,64.2766
RE1,PWRDIST,2056,65.0282
RE1,PWRDIST,2057,65.7854
RE1,PWRDIST,2058,66.5484
RE1,PWRDIST,2059,67.3176
RE1,PWRDIST,2060,68.0932
RE1,PWRDIST,2061,68.8755
RE1,PWRDIST,2062,69.6646
RE1,PWRDIST,2063,70.4609
RE1,PWRDIST,2064,71.2645
RE1,PWRDIST,2065,72.0757
RE1,PWRDIST,2066,72.8946
RE1,PWRDIST,2067,73.7214
RE1,PWRDIST,2068,74.5563
RE1,PWRDIST,2069,75.3996
RE1,PWRDIST,2070,76.2513
RE1,DEMTRAMCYGSL,2057,133.2898
RE1,DEMTRAMCYGSL,2058,254.9475
RE1,DEMTRAMCYGSL,2059,366.017
RE1,DEMTRAMCYGSL,2060,9543.5018
RE1,DEMTRAMCYGSL,2061,897.3256
RE1,DEMTRAMCYGSL,2062,851.8971
RE1,DEMTRAMCYGSL,2063,979.787
RE1,DEMTRAMCYGSL,2064,5088.7106
RE1,DEMTRAMCYGSL,2065,436.7184
RE1,DEMTRAMCYGSL,2066,472.9759
RE1,DEMTRAMCYGSL,2067,503.8239
RE1,DEMTRAMCYGSL,2068,532.6305
