r,t,f,y,UseByTechnologyAnnual
RE1,DEMCOMELC,BIO,2015,0.0
RE1,DEMCOMELC,BIO,2016,0.0
RE1,DEMCOMELC,BIO,2017,0.0
RE1,DEMCOMELC,BIO,2018,0.0
RE1,DEMCOMELC,BIO,2019,0.0
RE1,DEMCOMELC,BIO,2020,0.0
RE1,DEMCOMELC,BIO,2021,0.0
RE1,DEMCOMELC,BIO,2022,0.0
RE1,DEMCOMELC,BIO,2023,0.0
RE1,DEMCOMELC,BIO,2024,0.0
RE1,DEMCOMELC,BIO,2025,0.0
RE1,DEMCOMELC,BIO,2026,0.0
RE1,DEMCOMELC,BIO,2027,0.0
RE1,DEMCOMELC,BIO,2028,0.0
RE1,DEMCOMELC,BIO,2029,0.0
RE1,DEMCOMELC,BIO,2030,0.0
RE1,DEMCOMELC,BIO,2031,0.0
RE1,DEMCOMELC,BIO,2032,0.0
RE1,DEMCOMELC,BIO,2033,0.0
RE1,DEMCOMELC,BIO,2034,0.0
RE1,DEMCOMELC,BIO,2035,0.0
RE1,DEMCOMELC,BIO,2036,0.0
RE1,DEMCOMELC,BIO,2037,0.0
RE1,DEMCOMELC,BIO,2038,0.0
RE1,DEMCOMELC,BIO,2039,0.0
RE1,DEMCOMELC,BIO,2040,0.0
RE1,DEMCOMELC,BIO,2041,0.0
RE1,DEMCOMELC,BIO,2042,0.0
RE1,DEMCOMELC,BIO,2043,0.0
RE1,DEMCOMELC,BIO,2044,0.0
RE1,DEMCOMELC,BIO,2045,0.0
RE1,DEMCOMELC,BIO,2046,0.0
RE1,DEMCOMELC,BIO,2047,0.0
RE1,DEMCOMELC,BIO,2048,0.0
RE1,DEMCOMELC,BIO,2049,0.0
RE1,DEMCOMELC,BIO,2050,0.0
RE1,DEMCOMELC,BIO,2051,0.0
RE1,DEMCOMELC,BIO,2052,0.0
RE1,DEMCOMELC,BIO,2053,0.0
RE1,DEMCOMELC,BIO,2054,0.0
