Power Generation Technology,Year,Value,Parameter
Biomass Power Plant,2015,3230.4,Estimated Installed Capacity (MW)
Coal Power Plant,2015,5259.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2015,27132.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2015,1414.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2015,3639.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2015,148.0,Estimated Installed Capacity (MW)
Onshore Wind,2015,210.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2016,3230.4,Estimated Installed Capacity (MW)
Coal Power Plant,2016,5259.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2016,27132.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2016,1414.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2016,3639.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2016,148.0,Estimated Installed Capacity (MW)
Onshore Wind,2016,210.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2017,3230.4,Estimated Installed Capacity (MW)
Coal Power Plant,2017,5259.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2017,27132.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2017,1414.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2017,3639.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2017,148.0,Estimated Installed Capacity (MW)
Onshore Wind,2017,210.0,Estimated Installed Capacity (MW)
Biomass Power Plant,2018,3230.4,Estimated Installed Capacity (MW)
Coal Power Plant,2018,5259.0,Estimated Installed Capacity (MW)
Gas Power Plant (CCGT),2018,27132.0,Estimated Installed Capacity (MW)
Solar PV (Utility),2018,1414.5,Estimated Installed Capacity (MW)
Large Hydropower Plant (Dam) (>100MW),2018,3639.0,Estimated Installed Capacity (MW)
Medium Hydropower Plant (10-100MW),2018,148.0,Estimated Installed Capacity (MW)
Onshore Wind,2018,210.0,Estimated Installed Capacity (MW)
