Technology,Year,Value,Parameter
Biomass Power Plant,2015,2750.0,Capital Cost ($/kW)
Solar PV (Utility),2015,1822.5,Capital Cost ($/kW)
CSP with Storage,2015,7404.71,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2015,1539.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2015,1592.86,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2015,2162.0,Capital Cost ($/kW)
Onshore Wind,2015,2959.63,Capital Cost ($/kW)
Offshore Wind,2015,3620.25,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2015,3502.0,Capital Cost ($/kW)
Biomass Power Plant,2020,2750.0,Capital Cost ($/kW)
Solar PV (Utility),2020,1160.0,Capital Cost ($/kW)
CSP with Storage,2020,4965.31,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2020,1539.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2020,1592.86,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2020,2162.0,Capital Cost ($/kW)
Onshore Wind,2020,2220.09,Capital Cost ($/kW)
Offshore Wind,2020,2876.21,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2020,2130.8,Capital Cost ($/kW)
Biomass Power Plant,2025,2750.0,Capital Cost ($/kW)
Solar PV (Utility),2025,828.33,Capital Cost ($/kW)
CSP with Storage,2025,4000.0,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2025,1539.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2025,1592.86,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2025,2162.0,Capital Cost ($/kW)
Onshore Wind,2025,1775.78,Capital Cost ($/kW)
Offshore Wind,2025,2187.28,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2025,1880.8,Capital Cost ($/kW)
Biomass Power Plant,2030,2750.0,Capital Cost ($/kW)
Solar PV (Utility),2030,745.83,Capital Cost ($/kW)
CSP with Storage,2030,3223.13,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2030,1539.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2030,1592.86,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2030,2162.0,Capital Cost ($/kW)
Onshore Wind,2030,1620.71,Capital Cost ($/kW)
Offshore Wind,2030,1773.92,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2030,1755.8,Capital Cost ($/kW)
Biomass Power Plant,2040,2750.0,Capital Cost ($/kW)
Solar PV (Utility),2040,608.62,Capital Cost ($/kW)
CSP with Storage,2040,3134.9,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2040,1539.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2040,1592.86,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2040,2162.0,Capital Cost ($/kW)
Onshore Wind,2040,1391.1,Capital Cost ($/kW)
Offshore Wind,2040,1647.21,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2040,1690.8,Capital Cost ($/kW)
Biomass Power Plant,2050,2750.0,Capital Cost ($/kW)
Solar PV (Utility),2050,608.62,Capital Cost ($/kW)
CSP with Storage,2050,3134.9,Capital Cost ($/kW)
Large Hydropower Plant (Dam) (>100MW),2050,1539.0,Capital Cost ($/kW)
Medium Hydropower Plant (10-100MW),2050,1592.86,Capital Cost ($/kW)
Small Hydropower Plant (<10MW),2050,2162.0,Capital Cost ($/kW)
Onshore Wind,2050,1391.1,Capital Cost ($/kW)
Offshore Wind,2050,1520.5,Capital Cost ($/kW)
Solar PV (Distributed with Storage),2050,1625.8,Capital Cost ($/kW)
