Technology,Parameter,Value,,Note: combined transmission & distribution losses are accounted for in the transmission efficiency.
Electricity Transmission,Capital Cost ($/kW in 2020),204.2666667,,
Electricity Distribution,Capital Cost ($/kW in 2020),102.1333333,,
Electricity Transmission,Operational Life (years),50,,
Electricity Distribution,Operational Life (years),70,,
Electricity Transmission,Efficiency (2020),0.94,,
Electricity Distribution,Efficiency (2020),1,,
Electricity Transmission,Efficiency (2030),0.94,,
Electricity Distribution,Efficiency (2030),1,,
Electricity Transmission,Efficiency (2050),0.95,,
Electricity Distribution,Efficiency (2050),1,,
