lookup,country_code,group,id,powerplant,pp_life_time,year_built,capacity
THA0PWRBIO001,THA,PWRBIO001,0,Capacity Scaler,30.0,2001,3.1414
THA1PWRBIO001,THA,PWRBIO001,1,KhonKaenSugar17988,30.0,2001,0.02
THA2PWRBIO001,THA,PWRBIO001,2,KhonburiSugar17989,30.0,2001,0.022
THA3PWRBIO001,THA,PWRBIO001,3,MitrPholBioP18019,30.0,2001,0.027
THA4PWRBIO001,THA,PWRBIO001,4,MitrPholBioP18020,30.0,2001,0.011
THA5PWRBIO001,THA,PWRBIO001,5,SuratThaniGre18072,30.0,2001,0.009
THA0PWRCOA001,THA,PWRCOA001,0,BLCPPower17937,30.0,2007,1.345
THA1PWRCOA001,THA,PWRCOA001,1,GhecoOnepower17963,30.0,2012,0.66
THA2PWRCOA001,THA,PWRCOA001,2,GlowEnergypow17967,30.0,2001,0.526
THA3PWRCOA001,THA,PWRCOA001,3,MaeMah18018,30.0,1995,2.4
THA4PWRCOA001,THA,PWRCOA001,4,ThaTumpowers18082,30.0,1999,0.328
THA0PWRCSP001,THA,PWRCSP001,0,ThaiSolarPowe18083,,2009,0.005
THA0PWRNGS001,THA,PWRNGS001,0,AmataBGrimm17934,30.0,1994,0.734
THA1PWRNGS001,THA,PWRNGS001,1,BGrimmBIP17936,30.0,1994,0.23
THA2PWRNGS001,THA,PWRNGS001,2,BangBo17942,30.0,2000,0.35
THA3PWRNGS001,THA,PWRNGS001,3,BangPakong17944,30.0,1994,4.389
THA4PWRNGS001,THA,PWRNGS001,4,BowinCleanEne17948,30.0,1994,0.132
THA5PWRNGS001,THA,PWRNGS001,5,CUP117952,30.0,1994,0.228
THA0PWRNGS002,THA,PWRNGS002,0,CUP217953,30.0,1994,0.114
THA6PWRNGS001,THA,PWRNGS001,6,Chana17955,30.0,1994,1.532
THA1PWRNGS002,THA,PWRNGS002,1,EGCOCogen17961,30.0,2003,0.112
